 esquema |       tabla       |     columna      |     tipo     
---------+-------------------+------------------+--------------
 public  | character         | id_c             | integer
 public  | character         | name             | text
 public  | character         | age              | integer
 public  | character         | lifespan         | integer
 public  | character         | sex              | USER-DEFINED
 public  | character         | race             | USER-DEFINED
 public  | character         | martial_title    | text
 public  | character         | clan_born        | integer
 public  | character         | clan_actual      | integer
 public  | character         | cult_realm       | USER-DEFINED
 public  | character         | cult_range       | USER-DEFINED
 public  | character         | prestige         | integer
 public  | character         | level            | integer
 public  | character         | actual_xp        | integer
 public  | character         | required_xp      | integer
 public  | character         | actual_sp        | integer
 public  | character         | actual_cp        | integer
 public  | character         | appearance       | text
 public  | character         | past             | text
 public  | character         | diseases         | text
 public  | character         | wounds           | text
 public  | clan              | id_c             | integer
 public  | clan              | name             | text
 public  | don               | id_d             | integer
 public  | don               | name             | text
 public  | don               | ee_use           | integer
 public  | don               | description      | text
 public  | donchar_relation  | id_d             | integer
 public  | donchar_relation  | id_c             | integer
 public  | inventory         | id_c             | integer
 public  | inventory         | id_o             | integer
 public  | inventory         | quantity         | integer
 public  | object            | id_o             | integer
 public  | object            | slot_type        | USER-DEFINED
 public  | object            | name             | text
 public  | object            | descr            | text
 public  | object            | added_stats      | integer
 public  | object_stats      | id_os            | integer
 public  | object_stats      | strength         | integer
 public  | object_stats      | speed            | integer
 public  | object_stats      | agility          | integer
 public  | object_stats      | resistance       | integer
 public  | object_stats      | vitality         | integer
 public  | object_stats      | perception       | integer
 public  | object_stats      | intelligence     | integer
 public  | object_stats      | concentration    | integer
 public  | object_stats      | spiritual_energy | integer
 public  | object_stats      | qi_control       | integer
 public  | object_stats      | qi_quality       | integer
 public  | object_stats      | spiritual_sense  | integer
 public  | object_stats      | qi_nucl          | integer
 public  | statchar_relation | id_s             | integer
 public  | statchar_relation | id_c             | integer
 public  | stats             | id_s             | integer
 public  | stats             | cult_range       | USER-DEFINED
 public  | stats             | strength         | integer
 public  | stats             | speed            | integer
 public  | stats             | agility          | integer
 public  | stats             | resistance       | integer
 public  | stats             | vitality         | integer
 public  | stats             | perception       | integer
 public  | stats             | intelligence     | integer
 public  | stats             | concentration    | integer
 public  | stats             | spiritual_energy | integer
 public  | stats             | qi_control       | integer
 public  | stats             | qi_quality       | integer
 public  | stats             | spiritual_sense  | integer
 public  | stats             | qi_nucl          | integer
 public  | stats             | range_quality    | real
 public  | talent            | id_t             | integer
 public  | talent            | strength         | USER-DEFINED
 public  | talent            | speed            | USER-DEFINED
 public  | talent            | agility          | USER-DEFINED
 public  | talent            | resistance       | USER-DEFINED
 public  | talent            | vitality         | USER-DEFINED
 public  | talent            | perception       | USER-DEFINED
 public  | talent            | intelligence     | USER-DEFINED
 public  | talent            | concentration    | USER-DEFINED
 public  | talent            | spiritual_energy | USER-DEFINED
 public  | talent            | qi_control       | USER-DEFINED
 public  | talent            | qi_quality       | USER-DEFINED
 public  | talent            | spiritual_sense  | USER-DEFINED
 public  | talent            | qi_nucl          | USER-DEFINED
 public  | users             | id_user          | integer
 public  | users             | username         | text
 public  | users             | password         | text
 public  | users             | access_level     | USER-DEFINED
(102 rows)

